depth,size,sample,sensitivity,pcc,on_set_size
3,10,4,1.25,111.58422698747876,320
3,10,5,1.0,104.2906169629113,256
3,10,6,1.0,36.917905249019384,768
3,10,7,1.0,68.5568943437313,512
3,10,8,1.0,68.82673829750935,512
3,10,9,1.0,36.38914483535656,768
3,10,10,1.0,69.09483924845141,512
3,10,11,0.75,42.89798419923311,128
3,10,12,1.0,102.81499515677459,256
3,10,13,1.0,103.11988569608013,256
3,10,14,1.0,71.5687573832466,512
3,10,15,1.0,103.48572377658502,256
3,10,16,1.25,89.99750258650349,384
3,10,17,1.0,102.16100790224507,256
3,10,18,1.0,69.63671663442422,512
3,10,19,1.0,35.290211541925615,768
3,20,0,1.0,103.82491872531091,256
3,20,1,1.0,38.42988411800761,768
3,20,2,1.25,41.91135825933699,704
3,20,3,0.5,23.982203510707254,960
3,20,4,1.0,68.8284804648323,512
3,20,5,1.0,103.64842550828,256
3,20,6,1.0,103.2590905983604,256
3,20,7,1.0625,33.246636358012296,816
3,20,8,1.0,103.67300535106492,256
3,20,9,1.0,32.840880147705704,832
3,20,10,1.0,103.07804583136246,256
3,20,11,1.0,69.4565982787595,512
3,20,12,1.0,69.37208015400321,512
3,20,13,1.0,102.91791806515067,256
3,20,14,1.0,66.2667615796138,512
3,20,15,1.0,102.53806120899348,256
3,20,16,1.25,93.04379506875487,384
3,20,17,1.0,67.95829105894542,512
3,20,18,1.0625,83.82520476573156,224
3,20,19,1.0,103.5298642243928,256
3,30,0,1.0,69.49759296060951,512
3,30,1,1.0,36.79889808840334,768
3,30,2,1.0,35.493056579315834,768
3,30,3,1.0,68.06560156793718,512
3,30,4,1.0,104.20109500514961,256
3,30,5,1.0,68.7008063327704,512
3,30,6,1.0,102.57048378740816,256
3,30,7,1.0,68.03870668543942,512
3,30,8,1.0,31.136116414927837,832
3,30,9,1.0,37.02485046540595,768
3,30,10,1.0,66.5198215828895,512
3,30,11,1.0,102.56349867315629,256
3,30,12,1.0,69.02149924991826,192
3,30,13,1.0,68.17125489289114,192
3,30,14,1.0,68.43163509897654,512
3,30,15,1.0,68.48388023394558,512
3,30,16,1.25,110.99811341704294,320
3,30,17,1.25,92.5521743043436,384
3,30,18,0.75,28.746894045555123,896
3,30,19,1.0,31.86558775687279,832
3,40,0,1.25,44.87542670192819,640
3,40,1,1.0,67.87218926955886,512
3,40,2,1.0,37.43353427044414,768
3,40,3,1.0,69.9811977462434,512
3,40,4,1.0,103.45160627860326,256
3,40,5,0.0,0.0,0
3,40,6,1.0,36.48464210124955,768
3,40,7,1.0,68.78391051520651,512
3,40,8,1.0,67.68518796670071,512
3,40,9,1.0,34.20578418343945,768
3,40,10,0.75,43.445499695965495,128
3,40,11,0.75,23.772064806279406,896
3,40,12,1.25,41.944861729177276,704
3,40,13,1.0,67.87012460999799,512
3,40,14,1.0,32.8755152502423,832
3,40,15,1.25,45.536804101506625,640
3,40,16,0.0,0.0,0
3,40,17,1.0,68.88891670622861,512
3,40,18,1.0,103.14501983514853,256
3,40,19,1.0,69.05831694709238,192
3,50,0,1.0,103.60974118390234,256
3,50,1,1.0,103.25414441070605,256
3,50,2,1.0,70.22101285025623,512
3,50,3,1.0,37.867181461331114,768
3,50,4,1.0,66.50231109567413,512
3,50,5,1.25,92.49208338293211,384
3,50,6,1.25,45.343388437555625,640
3,50,7,0.75,42.92538648870629,128
3,50,8,1.0,102.88250902792439,256
3,50,9,1.0,67.68767940128726,512
3,50,10,1.0,70.30677780314693,512
3,50,11,1.5,72.77613509500988,448
3,50,12,1.0,102.73408794307605,256
3,50,13,1.0,38.5799251159374,768
3,50,14,1.25,46.10945196138266,640
3,50,15,1.25,45.8019589164805,640
3,50,16,1.0,33.28109300603567,768
3,50,17,0.75,43.03834266514794,128
3,50,18,0.75,43.15915912785394,128
3,50,19,1.25,49.14616989523401,640
3,60,0,0.75,43.19024489677813,128
3,60,1,1.0,39.596292238626845,768
3,60,2,1.0,37.878025251038494,768
3,60,3,0.75,43.45676058737574,128
3,60,4,1.0,71.14864104878562,512
3,60,5,0.0,21.424275087073784,1024
3,60,6,1.0,36.07892718952252,768
3,60,7,1.0,66.27038927293228,512
3,60,8,0.75,28.201795851486146,896
3,60,9,1.3125,42.922518880514275,672
3,60,10,1.0,66.83450349334807,512
3,60,11,1.0,36.116131560264606,768
3,60,12,1.25,48.794335347529184,640
3,60,13,1.0,103.2536526892623,256
3,60,14,0.75,43.496624817653725,128
3,60,15,0.75,29.197357650693053,896
3,60,16,1.0,32.80599032923308,768
3,60,17,1.0,103.25833989789163,256
3,60,18,0.75,43.482610040659054,128
3,60,19,1.0,38.21103498276762,768
3,70,0,1.0,68.5632535891483,192
3,70,1,0.75,43.28284699743922,128
3,70,2,1.25,50.83840292112782,640
3,70,3,0.5,17.61338796625641,64
3,70,4,1.25,92.53383717526967,384
3,70,5,1.0,35.28296138649587,768
3,70,6,0.5,25.314210517397076,960
3,70,7,0.5,17.86840257932892,64
3,70,8,1.0,68.81960056672287,192
3,70,9,0.75,30.122892557138613,896
3,70,10,1.0,102.72135342339277,256
3,70,11,1.25,93.84716633489992,384
3,70,12,1.0,31.048947198633154,832
3,70,13,1.0,69.5653243701879,512
3,70,14,1.0,103.31506761815972,256
3,70,15,1.0,38.81885630085496,768
3,70,16,1.0,36.7149694025339,768
3,70,17,1.0,34.77619046637045,768
3,70,18,0.75,43.418551408796176,128
3,70,19,0.75,43.160475899184945,128
3,80,0,0.9375,27.405209408287504,864
3,80,1,1.0,102.49178700315623,256
3,80,2,1.0,35.529773250650635,768
3,80,3,1.25,45.11442349794392,640
3,80,4,0.75,27.385041566190115,896
3,80,5,0.5,25.422301854573035,960
3,80,6,0.6875,27.921283664346326,928
3,80,7,0.8125,32.93166235767346,112
3,80,8,0.75,29.346210120638073,896
3,80,9,1.5,51.46404907981392,576
3,80,10,0.5,25.58618609034895,960
3,80,11,0.75,26.663071213530007,896
3,80,12,1.0,102.77484038698636,256
3,80,13,1.0,33.20969967571567,768
3,80,14,1.5,73.64272574062102,448
3,80,15,0.75,26.70975921999011,896
3,80,16,1.0,103.58803959959849,256
3,80,17,1.0,103.43846495056735,256
3,80,18,1.25,43.646346650729384,640
3,80,19,1.0,68.42812959903101,512
3,90,0,1.0,69.58682610692942,512
3,90,1,0.75,43.38304714559776,128
3,90,2,1.25,48.849451203871766,640
3,90,3,1.0,72.42509541186585,512
3,90,4,1.25,46.65709803426183,640
3,90,5,1.0,103.55419108482339,256
3,90,6,1.0,67.73884622998673,512
3,90,7,1.0,103.95868504927567,256
3,90,8,1.0,69.07174768482325,512
3,90,9,0.75,28.134993084106195,896
3,90,10,1.0,36.2977094225488,768
3,90,11,1.0,103.56725238306437,256
3,90,12,1.0,66.34010970830684,512
3,90,13,1.0,103.43001453460201,256
3,90,14,1.3125,52.68833336152531,608
3,90,15,1.0,69.81471456535745,512
3,90,16,0.0,0.0,0
3,90,17,0.75,43.13558105468887,128
3,90,18,1.0,30.173905190512478,832
3,90,19,1.25,48.110125988320185,640
3,100,0,1.0,35.72688136147636,768
3,100,1,1.25,92.91622966956368,384
3,100,2,1.0,38.20766776383053,768
3,100,3,1.0,68.10746012099212,512
3,100,4,1.0,33.661816078409835,768
3,100,5,1.0,68.63553741110391,512
3,100,6,1.0,40.08072865724004,768
3,100,7,0.75,27.55121712932495,896
3,100,8,1.0,103.45183168255824,256
3,100,9,1.0,35.22587169775695,768
3,100,10,1.0,70.5943655112467,512
3,100,11,0.6875,28.04692148081988,96
3,100,12,1.25,90.32235071083406,384
3,100,13,1.0,103.46176651118597,256
3,100,14,1.0,69.11711417668978,512
3,100,15,1.25,47.8643424928402,640
3,100,16,1.0,102.80522657130768,256
3,100,17,0.5,17.617155839544278,64
3,100,18,1.25,77.19220357787336,448
3,100,19,1.0,67.8361831094818,512
4,10,0,1.25,50.415932489535145,640
4,10,1,1.0,34.016523449816574,768
4,10,2,1.0,102.86539620650166,256
4,10,3,1.25,92.29044019089804,384
4,10,4,1.25,50.63566998318473,640
4,10,5,1.25,75.4563997156545,448
4,10,6,1.0,34.79693506918323,832
4,10,7,1.0,65.15921624569334,512
4,10,8,1.0,67.03941174565463,512
4,10,9,1.0,36.92318412481603,768
4,10,10,0.75,43.4853413764845,128
4,10,11,0.75,32.11855020977052,896
4,10,12,1.0,35.84204390561172,768
4,10,13,1.0,66.81594250640578,512
4,10,14,1.0,68.45479990478427,512
4,10,15,1.0,68.02771234138271,512
4,10,16,1.0,68.53478504781305,512
4,10,17,1.0,33.76166041678435,768
4,10,18,1.0,103.87412519232495,256
4,10,19,1.0,36.16406453920339,768
4,20,0,1.0,103.2299696245003,256
4,20,1,1.0,39.061296123474946,768
4,20,2,1.25,92.73998485145324,384
4,20,3,1.5,53.70869773419027,576
4,20,4,1.0,103.46451111388345,256
4,20,5,1.0,37.94901044547452,768
4,20,6,1.0,37.26654150270502,768
4,20,7,1.0,68.9854288980633,512
4,20,8,1.0,69.25123017151785,512
4,20,9,1.0,70.6323884949557,512
4,20,10,0.75,43.827329024963134,128
4,20,11,1.0,70.11164253173678,512
4,20,12,1.0,37.79323098386968,768
4,20,13,1.0,68.48461778018185,512
4,20,14,1.0,102.89275691963724,256
4,20,15,1.0,36.53491704941586,768
4,20,16,0.75,27.048650527453706,896
4,20,17,1.0,68.61461593926592,512
4,20,18,1.0,36.114354892750384,768
4,20,19,1.0,34.996711597917496,768
4,30,0,1.0,102.05902729010043,256
4,30,1,1.0,70.02636702309582,512
4,30,2,1.0,69.77931755047378,512
4,30,3,1.25,90.82481043179574,384
4,30,4,1.625,84.01563910560157,384
4,30,5,1.5,61.523542781083115,512
4,30,6,1.0,67.9511052022649,512
4,30,7,1.0,36.98097857602987,768
4,30,8,1.0,39.141557758051746,768
4,30,9,1.0,103.6380944073509,256
4,30,10,0.75,43.30353749856249,128
4,30,11,1.25,93.32470223018142,384
4,30,12,1.0,69.63928630132396,512
4,30,13,1.0,37.50036136867109,768
4,30,14,1.0,68.69291907180607,512
4,30,15,1.0,102.82784740319413,256
4,30,16,0.0,0.0,0
4,30,17,1.0,68.18797112785754,512
4,30,18,1.0,103.51496919841782,256
4,30,19,1.0,36.65909614979177,768
4,40,0,0.75,42.90251922144073,128
4,40,1,0.3125,25.793070747406965,992
4,40,2,1.0,36.08485913105587,768
4,40,3,1.0,40.35876099680854,768
4,40,4,0.75,27.4583390927523,896
4,40,5,1.0,68.10258144683432,512
4,40,6,1.0,69.79150581415223,512
4,40,7,1.0,104.25045296135397,256
4,40,8,1.0,66.9674273908412,512
4,40,9,1.25,48.70083698683145,640
4,40,10,1.0,103.4711919143205,256
4,40,11,1.0,71.10352824445964,512
4,40,12,1.0,103.14684531279514,256
4,40,13,1.0,67.3473838153882,512
4,40,14,1.5,46.810931744018475,640
4,40,15,1.0,38.58389405907167,768
4,40,16,1.0,28.077562672104857,832
4,40,17,1.0,29.848718115288875,832
4,40,18,1.0,34.07539867110623,768
4,40,19,0.75,42.850643231807254,128
4,50,0,1.25,93.69391454756808,384
4,50,1,0.5,17.552786514043028,64
4,50,2,1.3125,40.69706823693343,736
4,50,3,0.5,24.763516687616352,960
4,50,4,1.0,66.98249766776081,512
4,50,5,1.0,68.75970679769935,512
4,50,6,1.0,70.93338451589999,512
4,50,7,1.0,103.0490130665321,256
4,50,8,1.0,67.00189435360402,512
4,50,9,1.0,38.268707848204194,768
4,50,10,1.0,34.80881585390675,768
4,50,11,0.5,17.364991877131658,64
4,50,12,1.3125,100.33105551290451,352
4,50,13,1.0,33.201009808314296,832
4,50,14,1.0625,34.78858758439297,800
4,50,15,1.0,73.50249128573034,512
4,50,16,1.5,55.03067693346456,576
4,50,17,1.0,68.97376747649986,512
4,50,18,1.0,70.23944961051623,512
4,50,19,1.25,92.42642881876795,384
4,60,0,1.25,45.66370337013062,640
4,60,1,1.0,68.51691988109292,512
4,60,2,1.0,103.94449153198005,256
4,60,3,0.75,43.513810604723005,128
4,60,4,1.0,103.66603201226194,256
4,60,5,0.75,26.33446240336784,896
4,60,6,0.5,25.057692534010435,960
4,60,7,1.0,104.09803450557035,256
4,60,8,0.75,30.42389433258022,896
4,60,9,0.0,21.69351097188771,1024
4,60,10,1.0,35.58681812031196,768
4,60,11,0.0,21.852542482638714,1024
4,60,12,1.0,34.48166421149629,832
4,60,13,0.0,0.0,0
4,60,14,1.0,38.329757359987056,768
4,60,15,1.0,37.86303679913442,768
4,60,16,0.5,17.56481470269402,64
4,60,17,1.0,36.455363959685286,768
4,60,18,1.0,102.01183199149148,256
4,60,19,1.25,45.86141909486636,640
4,70,0,1.3125,46.28366242934937,672
4,70,1,1.0,102.62531533083437,256
4,70,2,1.25,46.70309177829219,640
4,70,3,1.25,44.69627459730317,640
4,70,4,1.0,103.90279471990327,256
4,70,5,1.25,83.17399754332381,448
4,70,6,1.0,102.78449787260803,256
4,70,7,0.75,42.8665319873395,128
4,70,8,1.0,67.20052623033212,512
4,70,9,1.0,67.96751150075733,512
4,70,10,1.0,102.48763375451045,256
4,70,11,0.0,0.0,0
4,70,12,0.75,42.87475618970723,128
4,70,13,0.75,28.05423128433511,896
4,70,14,0.5,25.166606638644815,960
4,70,15,1.25,52.29472862987946,640
4,70,16,1.0,102.9090455095522,256
4,70,17,1.0,70.0202080971579,512
4,70,18,1.0,34.71744247517058,768
4,70,19,1.0,67.76469182094657,512
4,80,0,0.5,17.25610375958119,64
4,80,1,1.25,93.08315709526487,384
4,80,2,1.0,40.57114349336132,768
4,80,3,0.75,28.120390678163083,896
4,80,4,1.25,92.3027318923809,384
4,80,5,1.0,71.10731036298453,512
4,80,6,1.3125,34.3583921098258,736
4,80,7,0.5,17.629650790613354,64
4,80,8,1.0,68.58575402416679,512
4,80,9,1.0625,84.59808151426405,224
4,80,10,1.0,68.86486086272656,512
4,80,11,1.0,102.89258089652603,256
4,80,12,1.0,70.63980070394052,512
4,80,13,0.75,43.0418903367065,128
4,80,14,1.0,67.2263337712024,512
4,80,15,1.5,75.33488400255858,448
4,80,16,0.0,22.311103645061092,1024
4,80,17,1.0,65.8732953645644,512
4,80,18,1.0,103.84358315345474,256
4,80,19,1.5,74.27911713053291,448
4,90,0,1.0,71.26586213970343,512
4,90,1,0.5,25.25857690612917,960
4,90,2,1.0,37.54875604410877,768
4,90,3,1.25,93.32133812010838,384
4,90,4,1.5,76.7024932036238,448
4,90,5,1.0,34.85705977816648,768
4,90,6,0.0,0.0,0
4,90,7,1.0,69.7565904769353,512
4,90,8,1.25,77.933818206751,448
4,90,9,0.75,28.65861947399378,896
4,90,10,0.5,25.077426895824882,960
4,90,11,1.0,68.07279029512182,512
4,90,12,0.0,21.436232137512697,1024
4,90,13,1.5,76.30033682463286,448
4,90,14,0.3125,24.5386520936816,992
4,90,15,1.5,52.17675432584239,576
4,90,16,1.25,38.899475032839376,704
4,90,17,0.75,27.438417035461566,896
4,90,18,1.0,103.7528431876674,256
4,90,19,1.0,67.52623159022838,512
4,100,0,1.5,72.89865710521978,448
4,100,1,0.5,17.753241861885257,64
4,100,2,1.0,102.82453677275501,256
4,100,3,0.9375,31.46801414441582,864
4,100,4,1.25,91.62355229255476,384
4,100,5,1.0,37.24959955445998,768
4,100,6,1.5,38.36322390598971,704
4,100,7,1.25,44.539168200875494,640
4,100,8,1.0,70.17274659782824,512
4,100,9,1.0,68.24376921812535,512
4,100,10,1.0,37.605037281120296,768
4,100,11,1.0,36.038742349328665,768
4,100,12,0.75,28.340397019702483,896
4,100,13,1.0,29.310136944644746,832
4,100,14,1.0,69.40774726856317,512
4,100,15,1.5,86.27267565713738,384
4,100,16,1.25,45.63742789078212,640
4,100,17,1.0,68.2335037622702,512
4,100,18,0.75,32.44578346046473,896
4,100,19,1.25,43.98341721668692,640
5,10,0,1.0,36.720725598538806,768
5,10,1,1.25,45.831651869953276,640
5,10,2,1.0,35.686342722354205,768
5,10,3,0.75,29.523159299636564,896
5,10,4,1.4375,44.080774593796484,672
5,10,5,1.0,39.603935876226906,768
5,10,6,1.25,47.95369292182772,640
5,10,7,1.0,35.50065817726495,768
5,10,8,1.0,68.95131692157045,512
5,10,9,1.0,69.40659137729526,512
5,10,10,0.75,31.64120676074711,896
5,10,11,1.25,47.454464789660584,640
5,10,12,1.0,39.215558868991415,768
5,10,13,1.0,68.30152542368452,512
5,10,14,1.0,33.21280814572732,768
5,10,15,1.0,103.43491720707192,256
5,10,16,1.0,38.76861367390801,768
5,10,17,1.0,102.65539096477981,256
5,10,18,1.0,102.64187719517666,256
5,10,19,1.0,68.27514086710048,512
5,20,0,0.75,43.15077224112482,128
5,20,1,1.0,68.11661083115595,512
5,20,2,1.25,79.67022200408891,448
5,20,3,1.0,103.01112322077722,256
5,20,4,0.75,42.12826994511178,128
5,20,5,1.0,103.47230664198061,256
5,20,6,1.0,69.09568281424275,512
5,20,7,0.0,0.0,0
5,20,8,1.0,68.71843252275985,512
5,20,9,1.0,103.90767950862514,256
5,20,10,1.0,35.923928320327974,768
5,20,11,1.0,102.98976861451064,256
5,20,12,1.25,46.665935287766516,640
5,20,13,1.0,71.03616023883684,512
5,20,14,0.75,42.73178795420627,128
5,20,15,1.0,32.85285850820962,768
5,20,16,0.75,27.26567349864415,896
5,20,17,0.75,26.429871743987697,896
5,20,18,0.3125,6.756131301941441,32
5,20,19,1.0,34.67761853231457,768
5,30,0,1.0,36.74243577827833,768
5,30,1,0.5,23.44591505767416,960
5,30,2,1.0,39.416611284076296,768
5,30,3,0.75,27.179007801647852,896
5,30,4,0.0,0.0,0
5,30,5,1.0,103.1208607405768,256
5,30,6,1.0,66.81241582114224,512
5,30,7,1.0,70.7591961340134,512
5,30,8,0.4375,22.747859126840144,976
5,30,9,1.25,48.97847804080897,640
5,30,10,1.0,102.75773224973157,256
5,30,11,0.3125,25.192409009230474,992
5,30,12,1.25,93.05580827696515,384
5,30,13,1.0,68.56340963806353,512
5,30,14,1.0,69.99203074518036,512
5,30,15,1.5,74.39134354760931,448
5,30,16,1.0,31.068195219811905,832
5,30,17,0.5,17.37322607571022,64
5,30,18,1.25,90.79297119161603,384
5,30,19,1.0,39.42753574708011,768
5,40,0,1.0,68.92423442123646,512
5,40,1,1.0,68.19847376147344,192
5,40,2,0.75,28.10537214236228,896
5,40,3,1.0,103.44709935225116,256
5,40,4,1.0,36.16278538519333,768
5,40,5,1.0,31.780336378162254,768
5,40,6,1.0,103.41629536186784,256
5,40,7,0.75,28.769329864672176,896
5,40,8,1.0,68.80335901338562,192
5,40,9,1.0,102.70208663267522,256
5,40,10,1.625,83.64378854482335,384
5,40,11,0.0,20.314945060365712,1024
5,40,12,0.0,19.933576526467096,1024
5,40,13,0.75,29.609727067284865,896
5,40,14,1.25,91.18655436365106,384
5,40,15,0.75,28.64595370595223,896
5,40,16,1.0,103.30823422662715,256
5,40,17,1.0,32.775494437986865,768
5,40,18,1.0,101.97604014503682,256
5,40,19,1.0,67.57052993487734,512
5,50,0,1.0,103.89316819994102,256
5,50,1,1.25,93.71163960187084,384
5,50,2,0.75,43.25294916350451,128
5,50,3,1.0,32.5089377995843,768
5,50,4,1.1875,34.267168768038196,800
5,50,5,0.6875,28.540998079776962,96
5,50,6,1.0,102.84737778943335,256
5,50,7,0.75,43.33830982796209,128
5,50,8,1.25,92.4505418802201,384
5,50,9,1.25,93.23731095197569,384
5,50,10,1.0,69.49874111861062,512
5,50,11,1.0,103.57556486485815,256
5,50,12,1.0,70.32398826911461,512
5,50,13,0.6875,26.417659667967335,928
5,50,14,1.0,39.24182835433202,768
5,50,15,1.0,32.509615413943294,768
