sbox_type,bit,pcc
AES,0,18.692266804403896
AES,1,17.426677734331268
AES,2,19.183501377679427
AES,3,18.460366259422237
AES,4,18.968801641581166
AES,5,17.75007877065596
AES,6,17.714215827083443
AES,7,16.880486642548192
Random,0,17.82097590247726
Random,1,18.85995217885651
Random,2,17.737509337847012
Random,3,16.81094237428156
Random,4,19.19266013425267
Random,5,18.78596660363072
Random,6,18.61337046710679
Random,7,18.70532710532099
