epoch,accuracy,pcc
0,0.1005,20.786120306383097
1,0.9874,18.892401802918364
2,0.987,16.546183310980304
3,0.9899,15.831508053887745
4,0.9905,13.971429227725295
5,0.99,15.016336291243903
6,0.9899,15.736104250443837
7,0.991,14.545943933816137
8,0.9817,14.329234429800152
9,0.9896,14.028538486502246
10,0.9917,17.42858043732994
