date,pcc,spy_price
2000-03-16,0.03753262431136051,92.1879653930664
2000-03-23,0.01951392871730917,96.40882873535156
2000-03-30,0.026050187006067205,93.90242767333984
2000-04-06,0.03618261962254721,95.03720092773438
2000-04-13,0.021824203269069642,91.09996032714844
2000-04-20,0.01810411573428894,90.82365417480469
2000-04-28,0.020823974373811893,91.63277435302734
2000-05-05,0.011826412528758823,90.6460189819336
2000-05-12,0.020118486346209608,90.19208526611328
2000-05-19,0.013169417664705918,89.12637329101562
2000-05-26,0.016814161707419117,87.15278625488281
2000-06-05,0.039201253647590306,92.91565704345703
2000-06-12,0.06945980357271253,91.49468231201172
2000-06-19,0.038047437046557775,93.9850082397461
2000-06-26,0.02589059116510839,92.57059478759766
2000-07-03,0.05185581717292109,93.23330688476562
2000-07-11,0.05839867416547406,93.7872085571289
2000-07-18,0.0433529640777266,94.80598449707031
2000-07-25,0.05258859248550962,93.25310516357422
2000-08-01,0.07291605382101807,91.07705688476562
2000-08-08,0.07842251200274575,94.12350463867188
2000-08-15,0.07966767800134278,94.42020416259766
2000-08-22,0.06759796055531808,95.11260223388672
2000-08-29,0.051499806804415016,96.0918197631836
2000-09-06,0.06954153909460103,94.67745208740234
2000-09-13,0.06934193803499511,94.2520980834961
2000-09-20,0.08972575629623236,91.95040893554688
2000-09-27,0.1136436288556979,90.8497543334961
2000-10-04,0.09987821609952618,91.18689727783203
2000-10-11,0.06567577935369684,86.64537811279297
2000-10-18,0.10276290014869005,85.19764709472656
2000-10-25,0.0904897134872158,86.50655364990234
2000-11-01,0.06822388438685323,90.41342163085938
2000-11-08,0.047191715386659894,89.2037124633789
2000-11-15,0.04330113281280035,88.56906127929688
2000-11-22,0.04827284725791969,83.85895538330078
2000-11-30,0.036374232638159754,83.9482421875
2000-12-07,0.057373302450102415,84.82087707519531
2000-12-14,0.06790950791623018,85.29681396484375
2000-12-21,0.03160616871112509,80.9234390258789
2000-12-29,0.04172432624124056,83.50949096679688
2001-01-08,0.008895399618161548,82.8729248046875
2001-01-16,0.013624544810319605,84.56381225585938
2001-01-23,0.018651157230632265,86.55309295654297
2001-01-30,0.025524439604176052,87.71880340576172
2001-02-06,0.028937839745626803,86.18467712402344
2001-02-13,0.04128623451834912,84.19219207763672
2001-02-21,0.03344449682492012,79.96541595458984
2001-02-28,0.023204633244567674,78.90233612060547
2001-03-07,0.03352164418271997,80.8311538696289
2001-03-14,0.02068611326164671,74.89195251464844
2001-03-21,0.020871683971670052,71.65332794189453
2001-03-28,0.022846132877152314,73.42777252197266
2001-04-04,0.011198785316604898,70.7533187866211
2001-04-11,0.010463210499597864,74.50642395019531
2001-04-19,0.021695802039509715,80.19991302490234
2001-04-26,0.013829771489675124,78.96800994873047
2001-05-03,0.03526453893431736,79.91900634765625
2001-05-10,0.02519086374521251,80.43605041503906
2001-05-17,0.02701165746473322,82.43383026123047
2001-05-24,0.02625209133685047,82.74020385742188
2001-06-01,0.01585544329953592,80.88919067382812
2001-06-08,0.018270980306631657,81.06156921386719
2001-06-15,0.013507907923635543,77.99560546875
2001-06-22,0.0458754532190504,78.63569641113281
2001-06-29,0.031066186360064307,78.4756851196289
2001-07-09,0.055098078917215076,76.6194076538086
2001-07-16,0.026830602419291694,77.26588439941406
2001-07-23,0.013808393138237562,76.13935089111328
2001-07-30,0.023195917445455905,77.35552215576172
2001-08-06,0.04919889390998122,77.00346374511719
2001-08-13,0.05175605487976043,76.37615203857422
2001-08-20,0.04979064430253999,75.42243194580078
2001-08-27,0.02908532159264965,75.72966766357422
2001-09-04,0.014602436622872972,72.59961700439453
2001-09-17,0.009329199761886287,66.76194763183594
2001-09-24,0.018585686983751515,64.699462890625
2001-10-01,0.013435404446831,66.9931869506836
2001-10-08,0.008489520763053093,68.44520568847656
2001-10-15,0.016816786899003233,70.22496032714844
2001-10-22,0.016515883644263596,70.33415985107422
2001-10-29,0.01646685899745748,69.03633117675781
2001-11-05,0.012478118035367913,71.11158752441406
2001-11-12,0.02361567920727836,71.97895812988281
2001-11-19,0.02328763999028638,74.38188171386719
2001-11-27,0.011540026362670375,74.16339111328125
2001-12-04,0.009705023804269075,74.0734634399414
2001-12-11,0.018974668192939248,73.34102630615234
2001-12-18,0.028579521553073306,73.87431335449219
2001-12-26,0.016854301677120986,74.3733901977539
2002-01-03,0.0077494748033970495,75.32754516601562
2002-01-10,0.012965836264918096,74.83758544921875
2002-01-17,0.012124554634269202,73.28382110595703
2002-01-25,0.031058781573854333,73.20647430419922
2002-02-01,0.051242335139352946,72.62623596191406
2002-02-08,0.027981174094801275,70.97579193115234
2002-02-15,0.03905033811757619,71.4915542602539
2002-02-25,0.06731078576524041,71.85258483886719
2002-03-04,0.047408034969599555,74.62483978271484
2002-03-11,0.03750263891042849,75.58544158935547
2002-03-18,0.035201156397551614,75.43343353271484
2002-03-25,0.015483646441396104,73.45498657226562
2002-04-02,0.007020882431071129,73.6683120727539
2002-04-09,0.00462255513967591,72.50450897216797
2002-04-16,0.027311238993100062,73.18986511230469
2002-04-23,0.021914619708088168,71.4571533203125
2002-04-30,0.020941700187879775,69.73731994628906
2002-05-07,0.012270789168702834,67.95281982421875
2002-05-14,0.01050648287553102,71.26315307617188
2002-05-21,0.013883342431483925,70.2804183959961
2002-05-29,0.011977055244564383,69.37519836425781
2002-06-05,0.010195209430950314,68.28253936767578
2002-06-12,0.017460911621913766,66.32347106933594
2002-06-19,0.017387338425979948,66.28472900390625
2002-06-26,0.009808118322734316,63.40236282348633
2002-07-03,0.012414672196577214,61.968509674072266
