type,pcc
random,0.04573916262929814
random,0.05496352361677598
random,0.05627322245450343
random,0.05509178193418661
random,0.051959837535754574
random,0.046421638983407454
random,0.05548482799927344
random,0.056096363492129
random,0.04742937414718417
random,0.053059900441513
random,0.0411659577001265
random,0.05109488166948015
random,0.04486374825049459
random,0.048327386445938744
random,0.05610725875784367
random,0.06146915701235468
random,0.05223236217714944
random,0.047038884066649966
random,0.05515744085805167
random,0.05803774855073729
random,0.05653730128516159
random,0.06124536133629019
random,0.0476692495165163
random,0.05169315505478736
random,0.05325438668907054
random,0.05950120531304187
random,0.05317183821119456
random,0.054267782044268256
random,0.054126222994590925
random,0.055697852842187895
random,0.053196947744132986
random,0.048732217653610896
random,0.05799265568114595
random,0.05381846274929467
random,0.04698703628887889
random,0.04609857555414895
random,0.05257242857966633
random,0.04982544796670291
random,0.05465566778466442
random,0.05099160964358207
random,0.059474738324686596
random,0.06305893254523584
random,0.05005847866126825
random,0.04417280899420156
random,0.052635849327655575
random,0.05532935138270781
random,0.05623517043091107
random,0.06432635336155682
random,0.050507139358250616
random,0.050106514725003826
coding,0.03723782344372759
coding,0.05260994213614484
coding,0.03606616765193556
coding,0.014796361677826992
coding,0.04374068863970855
coding,0.029358848462268466
coding,0.030770017330048464
coding,0.024567419691410467
coding,0.037580744963014744
coding,0.01971409331793306
coding,0.021757901208814975
coding,0.028518390035379003
coding,0.04552528111743097
coding,0.04795523403581129
coding,0.022929572817462298
coding,0.019163467306211757
coding,0.026922500145631054
coding,0.029652429929820655
coding,0.027841980557221556
coding,0.03166153006751439
coding,0.019275259640420726
coding,0.03343183430526742
coding,0.029825343223493415
coding,0.033214835511756136
coding,0.027470108644904328
coding,0.03954593868292194
coding,0.03621790536488008
coding,0.02449736342024725
coding,0.017027748234581818
coding,0.013436914328332524
coding,0.028549192324468477
coding,0.018821547552774646
coding,0.024952788488509653
coding,0.028852462637216535
coding,0.030994418137289013
coding,0.017550071122890757
coding,0.04079685148046507
coding,0.02749931916868968
coding,0.045280186646372296
coding,0.021869347890030925
coding,0.027161740165046043
coding,0.022045524369752455
coding,0.020785255229740732
coding,0.028245902398019995
coding,0.029870009872046657
coding,0.02961984703504343
coding,0.02997262451019786
coding,0.04816744142035392
coding,0.03680654067167244
coding,0.016152926244840254
periodic,0.0
periodic,0.0
periodic,0.0
periodic,0.0
periodic,0.0
periodic,0.0
periodic,0.0
periodic,0.0
periodic,0.0
periodic,0.0
periodic,0.0
periodic,0.0
periodic,0.0
periodic,1.0747935896837646e-05
periodic,0.0
periodic,0.0
periodic,0.0
periodic,0.0
periodic,0.0
periodic,9.300860725147686e-06
periodic,9.300860725147686e-06
periodic,0.0
periodic,0.0
periodic,0.0
periodic,1.0747935896837646e-05
periodic,0.0
periodic,0.0
periodic,1.5995535208368494e-05
periodic,1.7653116622717846e-05
periodic,0.0
periodic,9.300860725147686e-06
periodic,9.300860725147686e-06
periodic,0.0
periodic,0.0
periodic,0.0
periodic,0.0
periodic,9.300860725147686e-06
periodic,0.0
periodic,0.0
periodic,0.0
periodic,9.300860725147686e-06
periodic,0.0
periodic,1.7653116622717846e-05
periodic,0.0
periodic,0.0
periodic,0.0
periodic,0.0
periodic,0.0
periodic,9.300860725147686e-06
periodic,0.0
