date,pcc,avg_corr,forward_drawdown
2007-05-24,0.006714594454322764,-0.00921759109456383,0.0
2007-06-01,4.788615640904936e-05,0.023742552625800804,0.0
2007-06-08,0.0036428844233000746,0.09802604308135714,0.0
2007-06-15,0.009466325947471432,0.17348570052314613,0.0
2007-06-22,0.004798351460522099,0.3180947840518441,0.0
2007-06-29,0.0,0.310250808372001,0.0
2007-07-09,0.0,0.3312759972986656,0.0
2007-07-16,0.002365027546616716,0.3293024853155154,0.0
2007-07-23,0.0,0.2827426854012665,0.0
2007-07-30,0.0,0.26367017631666784,0.0
2007-08-06,0.0,0.17220322407414818,0.0
2007-08-13,0.0,0.12638921331268108,0.0
2007-08-20,0.0003567113872691152,0.09023268737580471,0.0
2007-08-27,0.0,0.07671353508224753,0.0
2007-09-04,0.0,0.10306883294061911,0.0
2007-09-11,0.01733499945842709,0.08521697960516535,0.0
2007-09-18,0.02470313140425162,0.06628383836159771,0.0
2007-09-25,0.0,0.11078866289773803,0.0
2007-10-02,0.0,0.16826224895142777,0.0
2007-10-09,0.0009459679976231428,0.1660510309516683,0.0
2007-10-16,0.0050168026973551605,0.12750124995124973,0.0
2007-10-23,0.0,0.10208281833904956,0.0
2007-10-30,0.00043187145001866156,0.09368204997055656,0.0
2007-11-06,0.01797234606080167,0.06849424707959433,0.0
2007-11-13,0.00604813499762713,0.04620763797798078,0.0
2007-11-20,0.002124453563340012,0.013161703487490668,0.0
2007-11-28,0.0,0.0387154811200238,0.0
2007-12-05,0.0004767190423535794,0.03850838197648431,0.0
2007-12-12,0.00407812233339655,0.04195942563692645,0.0
2007-12-19,0.002557084895670414,0.04749102085276539,0.0
2007-12-27,0.00537117806756271,0.055124305414393414,0.0
2008-01-04,4.40946088531291e-06,0.05489581472961793,0.0
2008-01-11,0.00410682751160607,0.053742177568707625,0.0
2008-01-18,0.00016330086856441994,0.0697739703686389,0.0
2008-01-28,0.0,0.046901802406159286,0.0
2008-02-04,0.003443041368939248,0.01587114313789003,0.0
2008-02-11,0.008666402431245501,0.01046804237955379,0.0
2008-02-19,0.0021836633551544082,0.010718434910388775,0.0
