epoch,loss,accuracy,pcc,on_set_size
1,0.694176971912384,0.5,0.0,0
10,0.6939823627471924,0.5,76.70155318924301,1024
20,0.6922162175178528,0.521484375,1.797004809806797,42
30,0.6871985197067261,0.6083984375,84.22055120313179,771
40,0.6597134470939636,0.7099609375,71.0216744320351,529
50,0.5746673345565796,0.7900390625,48.78800455116159,537
60,0.4107750654220581,0.8681640625,36.49253592798365,605
70,0.2521671652793884,0.9365234375,6.67231974255202,501
80,0.1494111567735672,0.96484375,5.836236174274987,536
90,0.09507519751787186,0.9833984375,2.6061359206708126,513
100,0.060036443173885345,0.9931640625,2.0534021019967668,511
110,0.04042699933052063,0.9990234375,1.8554173058766992,511
120,0.028582599014043808,0.9990234375,1.744826148745446,511
130,0.020792245864868164,0.9990234375,1.9108094962878965,511
140,0.015653183683753014,1.0,2.081657185602353,512
150,0.012089492753148079,1.0,1.9025843736962855,512
160,0.00959801860153675,1.0,1.7928029227347935,512
170,0.007743720896542072,1.0,1.777537087978203,512
180,0.006318619940429926,1.0,1.8369243646741182,512
190,0.005213380791246891,1.0,1.8131661896845372,512
200,0.00437142513692379,1.0,1.9134915472213834,512
210,0.003720982000231743,1.0,1.908192405685739,512
220,0.003183255437761545,1.0,1.7995124082857217,512
230,0.0027501857839524746,1.0,1.9080305507642237,512
240,0.0024061184376478195,1.0,1.9647634185290173,512
250,0.0021241435315459967,1.0,1.8505681902973663,512
260,0.0018755928613245487,1.0,1.870959242396296,512
270,0.0016602501273155212,1.0,1.7356301618162036,512
280,0.0014885136624798179,1.0,1.8291598783574585,512
290,0.0013370534870773554,1.0,1.7648353321991266,512
300,0.0012130951508879662,1.0,1.925043846407263,512
310,0.0011049382155761123,1.0,1.8230943203840866,512
320,0.001008515595458448,1.0,1.8663570387596877,512
330,0.0009235351462848485,1.0,1.8280216659526332,512
340,0.000848952098749578,1.0,1.8371301173768444,512
350,0.0007800648454576731,1.0,1.8861216812498895,512
360,0.0007213770877569914,1.0,1.7845732799042082,512
370,0.0006681159138679504,1.0,1.7809144550478777,512
380,0.0006208972190506756,1.0,1.8049588856847834,512
390,0.0005781949730589986,1.0,1.9322622605846789,512
400,0.0005391052691265941,1.0,1.849471359009982,512
410,0.0005044931313022971,1.0,1.9053135289940428,512
420,0.00047253473894670606,1.0,1.8179142530849077,512
430,0.0004448017862159759,1.0,1.9677466362785054,512
440,0.00041855929885059595,1.0,1.9047327106132457,512
450,0.00039488228503614664,1.0,1.7596419202461675,512
460,0.0003726068534888327,1.0,1.8072618557978188,512
470,0.00035221510916016996,1.0,1.7187881221811807,512
480,0.0003333727945573628,1.0,1.8386481593768167,512
490,0.0003163719375152141,1.0,1.6290747889322006,512
500,0.0003004891623277217,1.0,1.6670148009790609,512
