date,pcc,btc_price
2018-01-31,0.01597824152441163,10221.099609375
2018-02-01,0.02241181000714576,9170.5400390625
2018-02-02,0.005999200375228497,8830.75
2018-02-03,0.0035757725584062428,9174.91015625
2018-02-04,0.0036933341257316954,8277.009765625
2018-02-05,0.0,6955.27001953125
2018-02-06,0.0,7754.0
2018-02-07,0.0,7621.2998046875
2018-02-08,4.265551991977645e-05,8265.58984375
2018-02-09,0.0028792098326277937,8736.98046875
2018-02-10,0.002222944906680624,8621.900390625
2018-02-11,0.002855599493020833,8129.97021484375
2018-02-12,0.0028638846003055107,8926.5703125
2018-02-13,0.002347873992491145,8598.3095703125
2018-02-14,0.03867151491300547,9494.6298828125
2018-02-15,0.01216172840861418,10166.400390625
2018-02-16,0.029209451428030775,10233.900390625
2018-02-17,0.027827962075846813,11112.7001953125
2018-02-18,0.029215764592095184,10551.7998046875
2018-02-19,0.026638405089244088,11225.2998046875
2018-02-20,0.006145899950539047,11403.7001953125
2018-02-21,0.012547395999717992,10690.400390625
2018-02-22,0.009724480443168204,10005.0
2018-02-23,0.014930170904495554,10301.099609375
2018-02-24,0.018895787399806352,9813.0703125
2018-02-25,0.015073053819953941,9664.73046875
2018-02-26,0.012462358812349805,10366.7001953125
2018-02-27,0.010891084422539166,10725.599609375
2018-02-28,0.007057117304292149,10397.900390625
2018-03-01,0.0127877496560167,10951.0
2018-03-02,0.0129202694710564,11086.400390625
2018-03-03,0.0075067693581161166,11489.7001953125
2018-03-04,0.008271083204164142,11512.599609375
2018-03-05,0.004565600605268116,11573.2998046875
2018-03-06,0.0068241629857794806,10779.900390625
2018-03-07,0.0026016075143822093,9965.5703125
2018-03-08,0.012421810339006356,9395.009765625
2018-03-09,0.01287598586954175,9337.5498046875
2018-03-10,0.012192273858179448,8866.0
2018-03-11,0.013912840482262823,9578.6298828125
2018-03-12,0.011560880266415552,9205.1201171875
2018-03-13,0.010660026453081173,9194.849609375
2018-03-14,0.00965855082633027,8269.8095703125
2018-03-15,0.006559337143045241,8300.8603515625
2018-03-16,0.0,8338.349609375
2018-03-17,5.552536299546773e-05,7916.8798828125
2018-03-18,0.005389308911677659,8223.6796875
2018-03-19,0.00955081503465749,8630.650390625
2018-03-20,0.012925855592953894,8913.4697265625
2018-03-21,0.019927470910744205,8929.2802734375
2018-03-22,0.0205470495378961,8728.4697265625
2018-03-23,0.015578679250324967,8879.6201171875
2018-03-24,0.014142736574669357,8668.1201171875
2018-03-25,0.020361663019684784,8495.7802734375
2018-03-26,0.017441084017093544,8209.400390625
2018-03-27,0.01897146174407638,7833.0400390625
2018-03-28,0.01786309975413758,7954.47998046875
2018-03-29,0.012814112932737487,7165.7001953125
2018-03-30,0.012563220103853467,6890.52001953125
2018-03-31,0.0032411426303191604,6973.52978515625
2018-04-01,0.0037160421406525757,6844.22998046875
2018-04-02,0.008162162044143884,7083.7998046875
2018-04-03,0.006762564505038426,7456.10986328125
2018-04-04,0.014313278779255256,6853.83984375
2018-04-05,0.046390159994718516,6811.47021484375
2018-04-06,0.03985484351163748,6636.31982421875
2018-04-07,0.030288743431871268,6911.08984375
2018-04-08,0.03352688492502409,7023.52001953125
2018-04-09,0.026272050591160223,6770.72998046875
2018-04-10,0.010592508763750175,6834.759765625
2018-04-11,0.007441807663923328,6968.31982421875
2018-04-12,0.013810409688645109,7889.25
2018-04-13,0.009878342927009953,7895.9599609375
2018-04-14,0.011521254721884588,7986.240234375
2018-04-15,0.005713892315441171,8329.1103515625
2018-04-16,0.0035003307349654733,8058.669921875
2018-04-17,0.003740777298133935,7902.08984375
2018-04-18,0.008505677368745523,8163.419921875
2018-04-19,0.009736654448747828,8294.3095703125
2018-04-20,0.014034408677716215,8845.830078125
2018-04-21,0.017289511139576774,8895.580078125
2018-04-22,0.01514848815837766,8802.4599609375
2018-04-23,0.009438016367951718,8930.8798828125
2018-04-24,0.00938407283776499,9697.5
2018-04-25,0.005158180033820514,8845.740234375
2018-04-26,0.0072120126973054255,9281.509765625
2018-04-27,0.011299453901887802,8987.0498046875
2018-04-28,0.013400937187299178,9348.48046875
2018-04-29,0.0154707983921476,9419.080078125
2018-04-30,0.020849465855082627,9240.5498046875
2018-05-01,0.016019776377536488,9119.009765625
2018-05-02,0.01908598072960288,9235.919921875
2018-05-03,0.0007730198935576027,9743.8603515625
2018-05-04,0.0006066193219744775,9700.759765625
2018-05-05,7.687338725759219e-05,9858.150390625
2018-05-06,0.002114392027891654,9654.7998046875
2018-05-07,0.0019269277917182137,9373.009765625
2018-05-08,0.0018733386524480977,9234.8203125
2018-05-09,0.003218879217925519,9325.1796875
2018-05-10,0.00438229949538993,9043.9404296875
2018-05-11,0.003838734883629513,8441.490234375
2018-05-12,0.0015143653856313222,8504.8896484375
2018-05-13,0.0005309155092199092,8723.9404296875
2018-05-14,0.002107242347634042,8716.7900390625
2018-05-15,0.00018547569220572768,8510.3798828125
2018-05-16,0.0011408667843681997,8368.830078125
2018-05-17,0.0011123999511255533,8094.31982421875
2018-05-18,0.007901441560093758,8250.9697265625
2018-05-19,0.01324316153215932,8247.1796875
2018-05-20,0.0031574196928119136,8513.25
2018-05-21,0.005972478835317929,8418.990234375
2018-05-22,0.008959285921505966,8041.77978515625
2018-05-23,0.004685609304118543,7557.81982421875
2018-05-24,0.009800981834306555,7587.33984375
2018-05-25,0.010691490425646322,7480.14013671875
2018-05-26,0.004253110145867822,7355.8798828125
2018-05-27,0.007673727588684898,7368.22021484375
2018-05-28,0.004145208981732651,7135.990234375
2018-05-29,0.0,7472.58984375
